Field 0,Field 1,Field 2
0.0006121392,0,0.0242679775
0.0012245785,0,0.0242679775
0.0018373194,0,0.0242679775
0.0024503631,0,0.0242679775
0.0030637111,0,0.0242679775
0.0036773643,0,0.0242679775
0.004291324,0,0.0242679775
0.0049055912,0,0.0242679775
0.0055201667,0,0.0242679775
0.0061350513,0,0.0242679775
0.0067502459,0,0.0242679775
0.0073657509,0,0.0242679775
0.0079815669,0,0.0242679775
0.0085976943,0,0.0242679775
0.0092141335,0,0.0242679775
0.0098308845,0,0.0242679775
0.0104479476,0,0.0242679775
0.0110653229,0,0.0242679775
0.0116830102,0,0.0242679775
0.0123010094,0,0.0242679775
0.0129193205,0,0.0242679775
0.0135379431,0,0.0242679775
0.0141568771,0,0.0242679775
0.0147761219,0,0.0242679775
0.0153956774,0,0.0242679775
0.0160155431,0,0.0242679775
0.0166357187,0,0.0242679775
0.0172562037,0,0.0242679775
0.0178769976,0,0.0242679775
0.0184981002,0,0.0242679775
0.0191195111,0,0.0242679775
0.0197412298,0,0.0242679775
0.020363256,0,0.0242679775
0.0209855894,0,0.0242679775
0.0216082298,0,0.0242679775
0.0222311769,0,0.0242679775
0.0228544305,0,0.0242679775
0.0234779905,0,0.0242679775
0.0241018568,0,0.0242679775
0.0247260292,0,0.0242679775
0.0253505078,0,0.0242679775
0.0259752926,0,0.0242679775
0.0266003837,0,0.0242679775
0.0272257811,0,0.0242679775
0.027851485,0,0.0242679775
0.0284774954,0,0.0242679775
0.0291038125,0,0.0242679775
0.0297304365,0,0.0242679775
0.0303573676,0,0.0242679775
0.0309846058,0,0.0242679775
0.0316121513,0,0.0242679775
0.0322400044,0,0.0242679775
0.0328681649,0,0.0242679775
0.0334966331,0,0.0242679775
0.0341254088,0,0.0242679775
0.0347544922,0,0.0242679775
0.035383883,0,0.0242679775
0.0360135812,0,0.0242679775
0.0366435866,0,0.0242679775
0.0372738988,0,0.0242679775
0.0379045175,0,0.0242679775
0.0385354424,0,0.0242679775
0.0391666729,0,0.0242679775
0.0397982084,0,0.0242679775
0.0404300483,0,0.0242679775
0.041062192,0,0.0242679775
0.0416946386,0,0.0242679775
0.0423273873,0,0.0242679775
0.0429604372,0,0.0242679775
0.0435937873,0,0.0242679775
0.0442274367,0,0.0242679775
0.0448613844,0,0.0242679775
0.0454956292,0,0.0242679775
0.04613017,0,0.0242679775
0.0467650058,0,0.0242679775
0.0474001354,0,0.0242679775
0.0480355577,0,0.0242679775
0.0486712717,0,0.0242679775
0.0493072761,0,0.0242679775
0.04994357,0,0.0242679775
0.0505801524,0,0.0242679775
0.0512170222,0,0.0242679775
0.0518541786,0,0.0242679775
0.0524916206,0,0.0242679775
0.0531293475,0,0.0242679775
0.0537673585,0,0.0242679775
0.054405653,0,0.0242679775
0.0550442304,0,0.0242679775
0.0556830902,0,0.0242679775
0.0563222319,0,0.0242679775
0.0569616553,0,0.0242679775
0.05760136,0,0.0242679775
0.0582413459,0,0.0242679775
0.0588816128,0,0.0242679775
0.0595221608,0,0.0242679775
0.0601629899,0,0.0242679775
0.0608041001,0,0.0242679775
0.0614454917,0,0.0242679775
0.0620871648,0,0.0242679775
0.0627291197,0,0.0242679775
0.0633713567,0,0.0242679775
0.0640138762,0,0.0242679775
0.0646566783,0,0.0242679775
0.0652997636,0,0.0242679775
0.0659431324,0,0.0242679775
0.066586785,0,0.0242679775
0.0672307218,0,0.0242679775
0.0678749431,0,0.0242679775
0.0685194493,0,0.0242679775
0.0691642406,0,0.0242679775
0.0698093173,0,0.0242679775
0.0704546795,0,0.0242679775
0.0711003275,0,0.0242679775
0.0717462613,0,0.0242679775
0.0723924811,0,0.0242679775
0.0730389869,0,0.0242679775
0.0736857785,0,0.0242679775
0.074332856,0,0.0242679775
0.0749802192,0,0.0242679775
0.075627868,0,0.0242679775
0.076275802,0,0.0242679775
0.0769240211,0,0.0242679775
0.077572525,0,0.0242679775
0.0782213133,0,0.0242679775
0.0788703857,0,0.0242679775
0.0795197418,0,0.0242679775
0.0801693812,0,0.0242679775
0.0808193036,0,0.0242679775
0.0814695086,0,0.0242679775
0.0821199959,0,0.0242679775
0.082770765,0,0.0242679775
0.0834218157,0,0.0242679775
0.0840731477,0,0.0242679775
0.0847247608,0,0.0242679775
0.0853766547,0,0.0242679775
0.0860288293,0,0.0242679775
0.0866812845,0,0.0242679775
0.0873340204,0,0.0242679775
0.0879870369,0,0.0242679775
0.0886403342,0,0.0242679775
0.0892939124,0,0.0242679775
0.0899477718,0,0.0242679775
0.0906019128,0,0.0242679775
0.0912563358,0,0.0242679775
0.0919110413,0,0.0242679775
0.0925660297,0,0.0242679775
0.0932213018,0,0.0242679775
0.0938768583,0,0.0242679775
0.0945326999,0,0.0242679775
0.0951888275,0,0.0242679775
0.0958452419,0,0.0242679775
0.0965019441,0,0.0242679775
0.097158935,0,0.0242679775
0.0978162157,0,0.0242679775
0.0984737872,0,0.0242679775
0.0991316506,0,0.0242679775
0.0997893992,0,0.0242679775
0.1004470212,0,0.0242679775
0.1011045166,0,0.0242679775
0.1017618855,0,0.0242679775
0.1024191278,0,0.0242679775
0.1030762434,0,0.0242679775
0.1037332323,0,0.0242679775
0.1043900943,0,0.0242679775
0.1050468294,0,0.0242679775
0.1057034374,0,0.0242679775
0.1063599182,0,0.0242679775
0.1070162717,0,0.0242679775
0.1076724978,0,0.0242679775
0.1083285963,0,0.0242679775
0.1089845672,0,0.0242679775
0.1096404103,0,0.0242679775
